text_id,text,hate
hasoc_en_4939,A gangster sets out to fulfill his father’s dream of becoming a doctor.    Doctor's in #WestBengal be like #munna_bhai_MBBS    #DoctorsFightBack #DoctorsStrike #DoctorsUnderOppression   @MamataOfficial https://t.co/lZQcStQ2Md,1
hasoc_en_177,"That’s not white supremacy though is it. That means whites thinking AND ACTING as though they are superior to others. What these Jew/Muslim joint actions are concerned with is protecting stuff like Halal/Kosher, circumcision and the right to wear religious garb. 1/2",1
hasoc_en_1061,"Sit his ass down!  Tape his fingers and duct-tape his mouth.  Then throw him in a cage with the immigrants.  Problem solved!  Such a vision.  America, Free of Trump.  Darn, I just woke up.  Dems will do nothing.  #FuckTrump #FuckGOP #FuckCivility #ImpeachmentInquiryNow https://t.co/gU8oBArfo8",1
hasoc_en_663,“It is absolutely right that the government does all it can to support our Armed Forces from the day they enlist and for the rest of their lives. Veterans have given so much to the UK and it would be a dereliction of duty not to harness their potential.' – PM @BorisJohnson,0
hasoc_en_1858,Timewear Analogue White Round Dial Leather Strap Watches  @ Rs.299    https://t.co/1VcTXbme5W    #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll,0
hasoc_en_436,AC room me baithke keise pata chalta hei. Did he write to Mamata Banerjee for protesting against  lynching of doctors in west Bengal ?,0
hasoc_en_5485,Congress abusive language towards PM Modi in Parliament is unacceptable.. Punish the MP\n#GandiNaaliAbuse,1
hasoc_en_562,"@realDonaldTrump Since @realDonaldTrump is the BIGGEST deadbeat fraud, what he calls a fraud is what the rest of humanity not kiSsing his rectum calls #TheTRUTH. And we ALL know Trump CAN'T HANDLE THE TRUTH! #FuckTrump #ComradeTrump #PutinsPuppet #CadetBoneSpurs #MakingAmericaGarbageAgain #MAGA",1
hasoc_en_1595,#ShameOnICC  Even local cricket tournament have better management &amp; planning than your's .   Thankyou for spoiling the worldcup. https://t.co/tfYxvOreN7,1
hasoc_en_514,@asadowaisi  we proud of our #muslimsociety who never favour any #rapist or #criminal or #traitor...  #trueindiamuslim  #AligarhMurderCase,0
