Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,clean_tweet
0,3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,! <repeat> rt  <allcaps> <user> : as a woman you shouldn't complain about cleaning up your house . &amp ; as a man you should always take the trash out . <repeat>
1,3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,! <repeat> rt  <allcaps> <user> : boy dats cold . <repeat>tyga dwn bad for cuffin dat hoe in the <number>st place ! <repeat>
2,3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,! <repeat> rt  <allcaps> <user> dawg ! <repeat> rt  <allcaps> <user> : you ever fuck a bitch and she start to cry ? you be confused as shit
3,3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,! <repeat> rt  <allcaps> <user> : <user> she look like a tranny
4,6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,! <repeat> rt  <allcaps> <user> : the shit you hear about me might be true or it might be faker than the bitch who told it to ya &#<number> ;
5,3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""","! <repeat>""<user> : the shit just blows me . <repeat>claim you so faithful and down for somebody but still fucking with hoes ! &#<number> ;&#<number> ;&#<number> ;"""
6,3,0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""","! <repeat>""<user> : i can not just sit up and hate  <allcaps> on another bitch . <repeat> i got too much shit going on !"""
7,3,0,3,0,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,! <repeat>&#<number> ;<user> : cause i'm tired of you big bitches coming for us skinny girls ! <repeat>&#<number> ;
8,3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """,""" &amp ; you might not get ya bitch back &amp ; thats that """
9,3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",""" <user> :hobbies include : fighting mariam""

bitch"
